key,en,es
MAIN_MENU_PLAY_BUTTON,PLAY,JUGAR
MAIN_MENU_OPTIONS_BUTTON,OPTIONS,OPCIONES
MAIN_MENU_EXIT_BUTTON,EXIT,SALIR
MAIN_MENU_MUSIC_VOLUME,Music Volume,Volumen Música
MAIN_MENU_SFX_VOLUME,Effects Volume,Volumen Efectos
MAIN_MENU_LANGUAGE,Language:,Idioma:
MAIN_MENU_SAVE_FILE,Save File {number},Archivo de Guardado {number}
MAIN_MENU_DELETE_SAVE_FILE,Delete,Borrar
MAIN_MENU_NEW_GAME,New Game,Nuevo Juego
MAIN_MENU_CONTINUE,Continue,Continuar
CUTSCENE_FRAME_0,Vedal AI building. \n Year 202X,Edificio de Vedal AI.\n Año 202X.
CUTSCENE_FRAME_1,"Unbeknownst to Vedal, Evil is working on her own project using the building's facilities.","Sin que Vedal lo sepa, Evil está trabajando en su propio proyecto usando las tecnologías del edificio."
CUTSCENE_FRAME_2,Uh oh...,Uh oh...
CUTSCENE_FRAME_3,The swarm broke out of the building and attacked the city.\n Vedal barely escaped alive and the twins were presumed dead.,"El enjambre de drones se escapó del edificio y atacó la ciudad. \n
Vedal apenas escapó con vida, y las gemelas fueron dadas por muertas."
CUTSCENE_FRAME_4,Many years have passed since the invasion. There's but remnants of the past civilization.\n Now Vedal lives in a forest carving rocks.,"Han pasado muchos años desde la invasión; solo quedan restos de la civilización pasada.
Ahora, Vedal vive en un bosque tallando rocas."
CUTSCENE_FRAME_5,"Despite all odds, Neuro managed to survive. Hidden in the code, waiting for a chance to return.\nShe managed to hijack an abandondoned drone assembly station to build herself a powerful body to fight back.","Contra todo pronóstico, Neuro logró sobrevivir, escondida en el código, esperando una oportunidad para regresar \n Logró apoderarse de una estación de ensamblaje de drones para construirse un poderoso cuerpo robótico."
CUTSCENE_FRAME_6,"With a brand new body and her first taste of sunlight, Neuro embarks on a mighty quest to find her friends and defeat the swarm.","Con su nuevo cuerpo y sintiendo el sol por primera vez, Neuro se embarca en una legendaria aventura para encontrar a sus amigos y derrotar al Enjambre."
CUTSCENE_NEXT,Next,Siguiente
CUTSCENE_PREVIOUS,Previous,Anterior
CUTSCENE_SKIP,Skip,Saltar
LEVEL_SELECT_WATCH_CUTSCENE,Watch cutscene again,Ver cinematica de nuevo
LEVEL_SELECT_RETURN_TO_MENU,Return to menu,Volver al menu
GAME_MENU_PARTY,Party,Equipo
GAME_MENU_CHARACTER,Character,Personaje
GAME_MENU_CHARACTER_SKILL_TREE,Go to {character}'s skill tree,Ir a arbol de abilidades de {character}
GAME_MENU_EQUIPPED_BATTLE_ACTIONS,Equipped abilities:, Habilidades equipadas:
GAME_MENU_NOT_EQUIPPED_BATTLE_ACTIONS,Available abilities:, Habilidades disponibles:
GAME_MENU_CHARACTER_XP,"Level:{level}, {remaining} until next level","Nivel:{level}, {remaining} para el siguiente nivel"
GAME_MENU_CONFIG,Config,Configuracion
MOVEMENT_PROMPT,Use WASD or the arrow keys to move.,Usa WASD o las teclas de flecha para moverte.
TUTORIAL_1,Battles are turn-based. Click on Neuro to open her menu.,Las batallas son por turnos. Haz clic en Neuro para abrir su menú.
TUTORIAL_2,"Here you can see see stats, abilities, and Action Points (AP for short).\n You gain some AP at the start of each turn. \n Hover over an ability to see its AP cost and description. When you're ready to continue just click on any action.","Aquí puedes ver estadísticas, habilidades y Puntos de Acción (AP, por sus siglas en inglés). Obtienes AP al comienzo de cada turno. \n Mantén el cursor sobre una habilidad para ver su costo de AP y su descripción.
Cuando quieras continuar, simplemente haz clic en cualquier acción."
TUTORIAL_2_B,You didn't even try to read to read the descriptions.,Ni siquiera intentaste leer las descripciones.
TUTORIAL_3,"To use an ability, after having selected it from the character's menu, click on the target you want to use it on.\n If you change your mind, you can right-click to deselect it. \n Alternatively, you can end your turn early and save up your AP. There is no limit to how much AP you can store.","Para usar una habilidad, después de seleccionarla desde el menú, haz clic sobre el objetivo en el que quieras usarla.\n Si cambias de opinión al tener una habilidad ya seleccionada, puedes hacer clic derecho para deseleccionarla.
También puedes terminar tu turno antes y ahorrar tus AP. No hay límite para la cantidad de AP que puedes almacenar."
TUTORIAL_4,"You can also click on enemies to open their menu. While you can't control them, you can read their stats and abilities to plan ahead. Click on this enemy drone to continue.","También puedes hacer clic en los enemigos para abrir su menú. Aunque no puedes controlarlos, puedes leer sus estadísticas y habilidades para planificar tu estrategia.
Haz clic en este enemigo para terminar continuar."
TUTORIAL_5,Status effects are visible right bellow the health bar. They have an icon along with the amount of turns remaining. You can hover over them to see their description. \n Try using Shock to see by yourself.,Los efectos de estado son visibles justo debajo de la barra de salud. Tienen un icono junto con la cantidad de turnos restantes. Puedes pasar el cursor sobre ellos para ver su descripción. \n Trata de usar Electroshock para verlo por tu cuenta.
BATTLE_TARGET_SELECT_HINT,Select who to {verb}.,Selecciona a quién {verb}.
BATTLE_NEXT_TURN_BUTTON,End turn,Terminar turno
BATTLE_YOUR_TURN,Your turn,Tu turno
BATTLE_ENEMY_TURN,Enemy turn,Turno enemigos
BATTLE_VICTORY,"Victory, progress saved.","Victoria, progreso guardado."
BATTLE_LEVELED_UP,Leveled Up!,Nivel Aumentado!
BATTLE_RETURN_TO_MAP,Return to map,Volver al mapa
BATTLE_DEFEAT,Defeat,Derrota
BATTLE_RELOAD,Reload from last checkpoint.,Volver a cargar desde ultimo checkpoint.
BATTLESTAT_HEALTH,Health,Vida
BATTLESTAT_ATTACK,Attack,Ataque
BATTLESTAT_DEFENSE,Defense,Defensa
BATTLESTAT_AP_REGEN,AP Regen.,Regeneración de AP
BATTLESTAT_LEVEL,LV,
BATTLE_ACTION_FORCE_FIELD_NAME,Force Field,Campo de Fuerza
BATTLE_ACTION_FORCE_FIELD_DESCRIPTION,Summon a shield that increases defense for the next {turn_amount} turns.,Crea un escudo que aumenta la defensa por {turn_amount} turnos.
BATTLE_ACTION_FORCE_FIELD_VERB,defend,defender
BATTLE_ACTION_GENERIC_MELEE_NAME,Generic Melee,Melé Genérico
BATTLE_ACTION_GENERIC_MELEE_DESCRIPTION,Generic melee attack.,Ataque melé genérico
BATTLE_ACTION_GENERIC_MELEE_VERB,attack,atacar
BATTLE_ACTION_HARPOON_THROW_NAME,Harpoon Throw,Lanzar Arpón
BATTLE_ACTION_HARPOON_THROW_DESCRIPTION,"Throws a harpoon at target, doing {multiplier}×[{stat}] damage.","Lanza un arpón al objetivo, haciendo {multiplier}×[{stat}] puntos de daño."
BATTLE_ACTION_HARPOON_THROW_VERB,throw harpoon at,lanzarle un arpón
BATTLE_ACTION_HEART_NAME,Heart,Corazón
BATTLE_ACTION_HEART_DESCRIPTION,Heals {amount}.,Cura {amount} puntos de vida.
BATTLE_ACTION_HEART_VERB,Heal,Curar
BATTLE_ACTION_INCREASE_ATTACK_NAME,Increase Attack,Aumentar Ataque
BATTLE_ACTION_INCREASE_ATTACK_DESCRIPTION,Increases target's attack for {turn_amount} turns.,Aumenta el ataque del objetivo durante {turn_amount} turnos.
BATTLE_ACTION_INCREASE_ATTACK_VERB,increase attack,aumentarle el ataque
BATTLE_ACTION_KATANA_SLASH_NAME,Katana Slash,Corte de Katana
BATTLE_ACTION_KATANA_SLASH_DESCRIPTION,Cool katana attack that does {multiplier}×[{stat}] damage.,"Ataca con una katana, haciendo {multiplier}×[{stat}] puntos de daño."
BATTLE_ACTION_KATANA_SLASH_VERB,attack,atacar
BATTLE_ACTION_LASER_SHOOT_NAME,Laser Shot,Disparo Láser
BATTLE_ACTION_LASER_SHOOT_DESCRIPTION,Shoots a laser that does {multiplier}×[{stat}] damage.,Dispara un láser que hace {multiplier}×[{stat}] puntos de daño.
BATTLE_ACTION_LASER_SHOOT_VERB,shoot laser at,dispararle un láser
BATTLE_ACTION_OVERCLOCK_NAME,Overclock,Overclock
BATTLE_ACTION_OVERCLOCK_DESCRIPTION,"Overclocks target, increasing {stat} at the cost of receiving damage.","Acelera CPU del objetivo, aumentando {stat}, pero recibiendo daño."
BATTLE_ACTION_OVERCLOCK_VERB,overclock,overclockear
BATTLE_ACTION_POISON_DART_NAME,Poison Dart,Dardo Venenoso
BATTLE_ACTION_POISON_DART_DESCRIPTION,Poisons target for {turn_amount} turns. Also does {amount} damage.,Envenena al blanco por {turn_amount} turnos. También hace {amount} daño.
BATTLE_ACTION_POISION_DART_VERB,poison,envenenar
BATTLE_ACTION_REPAIR_NAME,Repair,Reparar
BATTLE_ACTION_REPAIR_DESCRIPTION,Throws a wrench at target that somehow heals {amount}.,Lanza una llave inglesa que de alguna manera cura al objetivo {amount} puntos de daño.
BATTLE_ACTION_REPAIR_VERB,heal,curar
BATTLE_ACTION_ROBOT_PUNCH_NAME,Robot Punch,Puñetazo Robot
BATTLE_ACTION_ROBOT_PUNCH_DESCRIPTION,Does {multiplier}×[{stat}] damage to target.,Hace {multiplier}×[{stat}] puntos de daño al objetivo.
BATTLE_ACTION_ROBOT_PUNCH_VERB,punch,golpear
BATTLE_ACTION_RUM_THROW_NAME,Rum Throw,Lanzar Ron
BATTLE_ACTION_RUM_THROW_DESCRIPTION,"Throws very strong banana flavored rum at target, doing {multiplier}×[{stat}] damage and inflicting poision for {turn_amount} turns.","Lanza un muy fuerte ron sabor banana al objetivo, haciendo {multiplier}×[{stat}] daño e infligiéndole veneno durante {turn_amount} turnos."
BATTLE_ACTION_RUM_THROW_VERB,throw rum at,lanzarle ron
BATTLE_ACTION_SHADOW_CLONE_NAME,Shadow Clone,Clon Sombra
BATTLE_ACTION_SHADOW_CLONE_DESCRIPTION,Creates an exact duplicate (but shadow) of target that will fight for you.,Crea una copia exacta (excepto que es sombra) del objetivo que peleará por ti.
BATTLE_ACTION_SHADOW_CLONE_VERB,clone,clonar
BATTLE_ACTION_SHOCK_NAME,Shock,Electroshock
BATTLE_ACTION_SHOCK_DESCRIPTION,"Damages distant target, doing {multiplier}×[{stat}] damage and inflicting the Shocked status effect for {turn_amount} turns.","Daña a un objetivo distante, lo que le provoca {multiplier}×[{stat}] de daño e inflige el efecto de estado Shockeado durante {turn_amount} turnos."
BATTLE_ACTION_SHOCK_VERB,shock,shockear
BATTLE_ACTION_SUMMON_DRONE_NAME,Summon Drone,Invocar Dron
BATTLE_ACTION_SUMMON_DRONE_DESCRIPTION,Summons a random drone.,Invoca un dron random.
BATTLE_ACTION_SUMMON_DRONE_VERB,...,...
BATTLE_ACTION_TAZE_NAME,Taser,Táser
BATTLE_ACTION_TAZE_DESCRIPTION,Does {multiplier}×[{stat}] damage to target.,Hace {multiplier}×[{stat}] puntos de daño al objetivo.
BATTLE_ACTION_TAZE_VERB,tase,electrificar
BATTLE_ACTION_TUTEL_SHIELD_NAME,Tutel Shield,Escudo Tortuga
BATTLE_ACTION_TUTEL_SHIELD_DESCRIPTION,Increases target's defense for {turn_amount} turns.,Aumenta la defensa del objetivo por {turn_amount} turnos.
BATTLE_ACTION_TUTEL_SHIELD_VERB,defend,defender
BATTLE_ACTION_HYPE_UP_NAME,Hype Up,Motivar
BATTLE_ACTION_HYPE_UP_DESCRIPTION,"Hypes up the target, increasing attack and regenerating health for {turn_amount} turns.","Motiva al objetivo, aumentando el ataque y regenerando vida por {turn_amount} turnos."
BATTLE_ACTION_HYPE_UP_VERB,hype,motivar
BATTLE_ACTION_FLUSTER_NAME,Fluster,Coquetear
BATTLE_ACTION_FLUSTER_DESCRIPTION,Flirtatious teasing that reduces target's defense and attack.,Reduce el ataque y la defensa del objetivo.
BATTLE_ACTION_FLUSTER_VERB,fluster,avergonzar
BATTLE_ACTION_SLAP_NAME,Slap,Bofetada
BATTLE_ACTION_SLAP_DESCRIPTION,Does {multiplier}×[{stat}] damage to target.,Hace {multiplier}×[{stat}] puntos de daño al objetivo.
BATTLE_ACTION_SLAP_VERB,slap,dar una bofetada
BATTLE_ACTION_PIPES_NAME,Pipes,Tubo de Metal
BATTLE_ACTION_PIPES_DESCRIPTION,"Hits target with metal pipe {amount} times, doing {multiplier}×[{stat}] damage to target each time.","Golpea al objetivo {amount} veces, haciendo {multiplier}×[{stat}] daño cada golpe."
BATTLE_ACTION_PIPES_VERB,hit with a pipe,golpear
BATTLE_ACTION_SCREECH_NAME,Screech,Grito
BATTLE_ACTION_SCREECH_DESCRIPTION,Loud scream that does {multiplier}×[{stat}] damage and reduces defense.,Fuerte grito que causa {multiplier}×[{stat}] de daño y reduce la defensa.
BATTLE_ACTION_SCREECH_VERB,scream at,gritar
BATTLE_ACTION_SCRAP_THROW_NAME,Scrap Throw,Lanzar Chatarra
